flow_rate,ratio,solvent,temperature
0.252,4.9,0.694,111.8
0.212,2.36,0.785,113.8
0.346,2.823,0.661,114.8
0.29,1.189,0.704,117.6
0.222,4.65,0.953,118.7
0.396,2.169,0.883,120.7
0.231,1.57,0.861,122.3
0.382,1.962,0.613,124.3
0.312,3.497,0.629,126.5
0.268,3.736,0.528,128.0
0.321,4.182,0.5,130.8
0.378,1.301,0.802,133.0
0.336,2.664,0.93,136.0
0.301,4.482,0.577,139.5
0.367,3.178,0.737,140.1
0.4,1.0,0.987,118.5
0.4,1.0,1.0,126.7
0.4,1.0,1.0,135.8
0.4,1.0,1.0,143.2
0.4,5.0,0.5,111.8
0.4,1.0,0.757,128.8
0.4,1.0,0.53,130.7
0.4,1.0,0.52,139.5
0.4,5.0,0.66,126.8
0.4,4.852,0.549,131.2
0.4,1.0,0.799,143.2
0.4,1.0,0.5,150.0
0.4,2.785,1.0,139.1
0.4,2.755,0.978,146.7
0.4,1.0,0.615,146.9
0.4,5.0,1.0,120.9
0.4,1.0,0.5,122.0
0.4,1.259,0.505,127.7
0.4,1.0,0.5,133.7
0.4,1.026,0.701,110.0
0.4,2.216,0.992,110.0
0.4,1.0,0.5,134.6
0.4,1.068,0.5,145.3
0.4,1.0,0.655,110.0
0.4,5.0,1.0,111.2
0.4,1.0,0.907,130.7
0.4,1.0,0.5,140.7
0.4,1.055,0.5,119.6
0.4,1.239,0.5,126.4
0.4,1.682,0.5,131.3
0.4,1.0,0.569,113.1
0.4,1.0,0.569,115.7
0.4,1.0,0.568,119.1
0.4,1.005,0.677,150.0
0.4,1.0,0.549,111.2
0.4,1.0,0.621,132.1
0.4,1.0,0.549,149.0
0.4,1.0,0.528,150.0
0.4,1.0,0.5,118.2
0.4,1.0,0.5,123.9
0.4,1.0,0.87,150.0
0.4,1.0,0.644,150.0
0.4,1.0,0.5,110.0
0.4,1.0,0.5,115.4
0.4,1.0,0.5,118.2
0.4,1.0,0.5,134.8
0.346,1.001,0.756,110.0
0.355,1.0,0.5,110.0
0.4,1.0,0.5,133.4
0.4,1.0,0.5,145.7
0.4,1.0,0.558,126.3
0.397,1.0,0.558,135.6
0.4,1.0,0.558,145.7
0.4,1.0,0.513,150.0
0.4,1.0,0.5,113.2
0.4,1.0,0.5,131.5
0.4,1.0,0.5,137.0
0.4,1.0,0.5,141.9
